move_sequence,result
e4 e5 f4 Nc6 Nc3 exf4 d4 g5 h4 d6 hxg5 Qxg5 Nge2 Bg4 Bxf4 Qxf4 Nxf4 Bxd1 Rxd1 O-O-O Bc4 Bg7 Nce2 Nf6 Nh5 Nxh5 Rxh5 Rde8 Bd5 Nb4 Kd2 Nxd5 exd5 Re4 c3 Rhe8 Nc1 Rg4 Rg1 h6 Rf5 Re7 Ne2 h5 Rxh5 Bf6 g3 Bg5+ Kd1 f6 Rh8+ Kd7 Rgh1 Rge4 R1h2 Re3 Nf4 c6 Ng6 Re1+ Kc2 R7e2+ Kb3 Rxh2 Rxh2 cxd5 Rh7+ Kc8 Ne7+ Kb8 Nxd5 a6 a4 a5 Rd7 Rg1 Rxd6 Rxg3 Nxf6,1-0
d4 Nf6 Nc3 d5 Bf4 g6 e3 Bg7 h4 h5 Nf3 O-O Be2 c5 dxc5 Qa5 Nd4 Qxc5 Nb3 Qc6 O-O a6 a4 Nbd7 Bf3 e6 a5 b5 axb6 Nxb6 Na5 Qc5 Qd4 Qxd4 exd4 Bd7 Bc7 Nc8 Na4 Ra7 Bf4 Bb5 Rfd1 Ne7 Bd6 Rc8 Bc5 Rac7 Nb6 Rd8 b3 Ne4 Bxe4 dxe4 Nbc4 Nd5 Nd6 Rxc5 dxc5 Bxa1 Rxa1 Nc3 b4 Kf8 Ra3 Ne2+ Kh2 Nd4 c4 Be8 Nab7 Ra8 b5 a5 Rxa5 Rxa5 Nxa5 Ke7 b6 Bc6 b7 Bxb7 Ndxb7 Kd7 Nd6 f5 Nb5 e5 Nxd4 exd4 Nb3 d3 g3 Ke6 Kg2 Ke5 Kf1,1-0
d4 Nf6 Nc3 d5 Bf4 c5 e3 cxd4 exd4 Bg4 Be2 Bxe2 Qxe2 a6 O-O-O e6 g4 Bb4 Qf3 Qa5 Nge2 Nc6 Kb1 Ne7 a3 Bxc3 Nxc3 O-O Bd6 Rfe8 g5 Nd7 h4 Nf5 Bb4 Qc7 Nxd5 Qc6 Nf6+ gxf6 d5 Ne5 Qxf5 exf5 dxc6 Nxc6 Bc3 fxg5 hxg5 Rad8 Bf6 Rxd1+ Rxd1 h6 gxh6 Kh7 Bg5 f6 Rd7+ Re7 Rxe7+ Nxe7 Bxf6 Ng8 Bg5 Nxh6 Bxh6 Kxh6 Kc1 Kg5 Kd2 Kf4 Ke2 Ke4 f3+ Kf4 c4 b5 c5 Ke5 f4+ Kd5 b4 a5 Kf3 a4 Ke3,1-0
d4 Nf6 Bf4 d5 e3 e6 Nf3 c5 c3 Nc6 Nbd2 Bd6 Bg3 O-O Bb5 Ne7 Bd3 c4 Bc2 b5 e4 dxe4 Nxe4 Nxe4 Bxe4 Nd5 Qc2 f5 Bxd5 exd5 Bxd6 Qxd6 Ne5 f4 f3 Bf5 Qd2 Bg6 O-O a5 a3 Rae8 Rfe1 Re6 Re2 Be8 Rae1 Rff6 Ng4 Rg6 h4 h5 Rxe6 Rxe6 Ne5 Rf6 Nxc4 bxc4 Rxe8+ Kh7 Qc2+ Rg6 Re5 Kh6 Qf5 Kh7 Qxh5+ Rh6 Qf5+ Qg6 Qxg6+ Rxg6 Rxd5 Rb6 Rxa5 Rxb2 Rc5 Rb3 Rxc4 Rxa3 Rc5 Kg6 Kh2 Ra2 Kh3 Rd2 Rg5+ Kf6 Rg4 Rd3 Rxf4+ Ke6 c4 g6 Kg4 Rd2 g3 Rd3 d5+ Ke5 Kg5 Rc3 Kxg6,1-0
d4 d5 Nc3 Nf6 Bf4 c5 e3 cxd4 exd4 a6 Nf3 Nc6 Ne5 Bd7 Ne2 e6 c3 Be7 Ng3 b5 Bd3 b4 O-O bxc3 bxc3 O-O Rb1 Qc8 Re1 Rd8 Re3 Nxe5 dxe5 Ne4 Nxe4 dxe4 Bxe4 Bc6 Bxh7+ Kxh7 Qh5+ Kg8 Rh3 f5 Qh7+ Kf7 Rg3 Bf8 Bh6 Ke8 Qg6+ Kd7 Qf7+ Be7 Bg5 Re8 Rd3+ Bd5 Rxd5+ Kc6 Rd4 Bc5 Rc4 Rb8 Rd1 Kb5 Rf4 Ka5 h4 Rb2 Qh5 Qc6 Rf1 Reb8 Kh2 Rxa2 Rc4 Qd5 Rf4 Rbb2 Qe8 Bxf2 R1xf2 Rxf2 Bd8+,1-0
e4 e6 d4 d5 Nc3 Nf6 e5 Nfd7 Nce2 c5 c3 Nc6 a3 f6 exf6 Nxf6 Nf3 Bd6 g3 O-O Bg2 e5 dxe5 Nxe5 Nxe5 Bxe5 O-O Bg4 h3 Bh5 Bg5 Bf7 Nf4 Bxf4 Bxf4 Qb6 b4 Rad8 Be3 Ne4 bxc5 Nxc5 Rb1 Qc7 Qg4 Be6 Qe2 Rfe8 Rfe1 Ne4 Bd4 Bf5 Qb5 b6 Re3 Qf7 Rbe1 Bxh3 Rxe4 Rxe4 Rxe4 Bd7 Qa6 dxe4 Qxa7 b5 Bxe4 Re8 Qb7 Bc8 Bxh7+,1-0
d4 g6 c4 Bg7 Nc3 Nc6 Nf3 d6 g3 Bg4 Bg2 Qc8 d5 Ne5 Nxe5 Bxe5 h3 Bd7 Be3 c5 Qd2 a6 a4 b5 axb5 axb5 Rxa8 Qxa8 cxb5 Qa1+ Qc1 Qxc1+ Bxc1 Bxc3+ bxc3 Bxb5 g4 Nf6 g5 Nd7 h4 O-O h5 Ra8 hxg6 hxg6 Bh3 Ra1 O-O Bxe2 Re1 Ne5 Rxe2 Rxc1+ Bf1 Rxc3 f4 Nf3+ Kf2 Nd4 Rxe7 Rf3+ Ke1 Rxf4 Rd7 Re4+ Kf2 Nf5 Bd3 Re5 Bc4 Ne3 Ba2 Nd1+ Kf3 Rf5+ Kg4 Nf2+ Kh4 Ne4 Re7 Rf4+ Kh3 Nxg5+ Kg3 Ra4 Bb1 Rd4 Kg2 Rxd5,0-1
e4 c5 Nf3 Nf6 Nc3 Nc6 d4 d5 exd5 Nxd5 Nxd5 Qxd5 Be3 cxd4 Nxd4 Nxd4 Qxd4 Qxd4 Bxd4 Bd7 O-O-O Bc6 f3 h5 Bd3 h4 h3 e6 Rhe1 a6 Be4 Rc8 Bxc6+ Rxc6 Bf2 Bc5 Bxc5 Rxc5 Rd4 Ke7 Red1 b5 c3 Rh6 Kc2 Rg6 R1d2 Rcg5 Rg4 Rxg4 fxg4 f5 gxf5 exf5 b3 Rg3 c4 b4 Kd1 g5 Ke1 Kf6 Kf2 Ke5 Rd5+ Ke4 Ra5 Rc3 Rxa6 Rc2+ Kg1 Kf4 Kh2 g4 hxg4 fxg4 Rf6+ Ke5 Rh6 h3 Rb6 Rxg2+ Kh1 Rxa2 Rxb4 g3 Ra4 Rxa4 bxa4 Ke4 a5 Kf3 a6 Kf2 a7 g2+ Kh2 g1=Q+ Kxh3 Qg3#,0-1
e3 Nf6 g4 d5 g5 Ne4 h4 e5 Nc3 Nxc3 dxc3 c6 e4 dxe4 Qxd8+ Kxd8 Bg2 f5 gxf6 gxf6 Bxe4 h5 Be3 Be6 O-O-O+ Kc7 f4 Bh6 Bd2 Bxf4 Bxf4 exf4 Ne2 Bg4 Nxf4 Bxd1 Rxd1 Kb6 b4 a5 Kb2 Na6 a3 Rad8 Bd3 Nc7 c4 axb4 axb4 c5 Kc3 cxb4+ Kxb4 Na6+ Kc3 Nc5 Nd5+ Kc6 Rb1 Nxd3 Rb6+ Kd7 cxd3 Kc8 Rxf6 Rdf8 Rd6 Rf1 Nb6+ Kc7 c5 Rh1 Rd7+ Kb8 Nc4 Rxh4 Nd6 Rh1 Rxb7+ Ka8 Kd4 Rc1 Rb6 h4 c6 h3 Ra6+ Kb8 Nb5 h2 Rb6+ Ka8 Ra6+ Kb8 Rb6+ Kc8 Ra6 Kb8,1/2-1/2
e4 b6 d4 Bb7 Bd3 Nc6 c3 e5 d5 Nce7 Nf3 Ng6 O-O a5 Be3 Bc5 Bxc5 bxc5 Nbd2 d6 Qa4+ Kf8 Rfe1 Nf4 Bf1 g5 g3 Ng6 Nc4 h5 Ne3 Bc8 Bg2 h4 Nf5 Nh6 Qc2 Qf6 Nxh6 Rxh6 Qd2 Rh5 Rf1 Kg7 Ne1 Ba6 Nd3 Rah8 f4 Bxd3 fxg5 Qxg5 Qxd3 hxg3 Qxg3 Qh6 h3 Rg5 Qd3 Nf4,0-1
