move_sequence,result
Nf3 Nf6 g3 b6 Bg2 Bb7 d4 e6 c4 Bb4+ Bd2 Bxd2+ Qxd2 O-O O-O d6 Qf4 Qe7 Nc3 c5 Nb5 Rd8 dxc5 dxc5 Ne5 Bxg2 Kxg2 Qb7+ Kg1 Nc6 Qf3 Na5 Qxb7 Nxb7 Rfd1 Rdc8 Nd7 a6 Nxb6 axb5 Nxc8 Rxc8 cxb5 Kf8 Rac1 Ra8 b4 cxb4 Rc7 Nd8 b6 Nd5 b7 Nxb7 Rxb7 f5 Rc1 h6 Rc2 Kg8 Rc6 Rxa2 Rxe6 Rb2 Re5 Nf6 Ree7 Nh5 e3 b3 h3 Kh8 g4 fxg4 hxg4 Nf6 Rxg7 Ne4,1-0
Nf3 d5 e3 Nf6 c4 e6 Nc3 Bd6 Qc2 O-O cxd5 exd5 Nb5 c5 Nxd6 Qxd6 b3 Nc6 Ba3 b6 Bb5 Bd7 Bxc6 Qxc6 O-O Rfe8 d4 Rac8 dxc5 bxc5 Bb2 Qb6 h3 Ne4 Rfd1 Be6 Rac1 f6 Nd2 Nxd2 Qxd2 Rc6 Rc2 Rec8 Rdc1 Qa6 Rc3 Qb5 Qd1 a5 Ba1 h6 Qf3 c4 Rd1 a4 Qe2 axb3 axb3 Qb4 bxc4 dxc4 Rdc1 Bf5 e4 Be6 Rg3 c3 Qe3 Kh7 Bxc3 Qe7 Kh1 Rc4 f4 R8c6 Qd3 Qd7 Qf3 Qc7 f5 Bf7 Qd3 Qd6 Qe3 Qc5 Qe2 Qe7 Re3 Qc7 Qe1 Qf4 Bd2 Rxc1 Bxc1 Qe5 Bd2 Rc2 Rf3 Bh5 Rd3 Rc4 Re3 Qd4 Bc3 Qd1 Qxd1 Bxd1 e5 fxe5 Bxe5 Rc5 g4 Rd5 Bc3 Rd7 Kg2 Kg8 Re1 Kf7 Re5 Bc2 Rc5 Be4+ Kg3 Bb7 Kf4 Re7 Be5 Rd7 h4 Kg8 g5 hxg5+ hxg5 g6 fxg6 Re7 Rb5 Rd7 Rb2 Kf8 Bf6 Ke8 Re2+ Kf8 Rh2 Bd5 g7+ Kf7 Rh8,1-0
Nf3 d5 d4 Nf6 c4 e6 Qc2 dxc4 Qxc4 a6 Qc2 c5 dxc5 Qa5+ Nc3 Qxc5 Be3 Qc7 Rc1 Bd7 g3 Bb4 Bg2 Bxc3+ bxc3 O-O Bf4 Qa5 Ne5 Nc6 Nxd7 Nxd7 O-O Rac8 Rfd1 Nf6 c4 e5 Bg5 Nd4 Qb2 Qa4 e3 Ne6 Bxf6 gxf6 Qe2 b5 Bd5 Rfe8 Qg4+ Kf8 Qh5 Kg7 c5 Red8 c6 Rd6 Bxe6 Rxe6 Rd7 Rf8 c7,1-0
Nf3 d5 g3 Nf6 Bg2 e6 O-O Be7 d3 O-O Nbd2 a5 a4 Nc6 d4 b6 c3 Bb7 Re1 h6 e4 Nxe4 Nxe4 dxe4 Rxe4 Bf6 Re1 Ne7 h4 Re8 Nd2 Bxg2 Kxg2 Qd5+ Kg1 Nf5 Qf3 c5 dxc5 bxc5 Ne4 Be7 Bf4 Qb3 Qe2 Red8 Qb5 Qd5 Rad1 Qxd1 Rxd1 Rxd1+ Kg2 Rd5 h5 Bf8 Qb7 Rad8 Bc7 R5d7 Qb6 Rc8 Bf4 Ne7 Qa6 c4 Bxh6 Rc6 Qxa5 f5 Bxg7 Bxg7 Ng5 Bf6 Nf3 Kg7 Ne5 Bxe5 Qxe5+ Kh7 Qf6 Rdc7 Qf7+ Kh6 f3 e5 a5 e4 fxe4 fxe4 g4 Ng6 Qf2 Ne7 Qf4+ Kg7 Qxe4 Kf7 Qh7+ Ke8 h6 Rg6 Qh8+ Kf7 Qe5 Rc8 Qf4+ Kg8 a6 Rxa6 Qe5 Rxh6 Qxe7 Rg6 Kg3 Rcc6 g5 Rge6 Qd8+ Kg7 Kg4 Red6 Qe7+ Kg6 Qe4+ Kg7 Kh5 Re6 Qd4+ Kh7 Qd7+ Kg8 Qd2 Kg7 Qf2 Kg8 Qf4 Kg7 Qf5 Red6 Qb5 Re6 b3 cxb3 Qxb3 Red6 Qb7+ Kg8 c4 Re6 c5 Kh8 Qd7 Kg8 Qd5 Kg7 Kg4 Ra6 Kf5 Rec6 Kg4 Re6 Qb7+ Kg8 Kh5 Rac6 Qb1 Ra6 g6 Rac6 Kh6 Rc8 Qb7 Rxg6+ Kxg6,1-0
Nf3 Nf6 g3 b6 Bg2 Bb7 O-O e6 c4 Be7 d4 O-O Re1 Ne4 Bf4 d5 cxd5 exd5 Nc3 c5 Rc1 Nc6 dxc5 Bxc5 e3 Nxc3 bxc3 h6 h4 Re8 g4 Na5 h5 Be7 Nd4 Rc8 Qf3 Nc4 Nf5 Bf6 Qe2 Be5 Bxe5 Nxe5 Red1 Rc5 f4 Nc4 e4 Qc7 e5 f6 Rd4 fxe5 fxe5 Qxe5 Qf2 Nd6 Rf4 Nxf5 Rxf5 Qd6 Rf4 Rcc8 c4 Rf8 Rf1 Rxf4 Qxf4 Qc5+ Kh2 Qe7 cxd5 Rc2 Kh3 Rxa2 Be4 Ra3+ Kg2 Ra2+ Kg1 Qe8 Qf5 g6 hxg6 Bc8 Qf6,1-0
e4 e5 Bc4 Nf6 d3 c6 Nf3 d5 Bb3 Bd6 Nc3 O-O Qe2 dxe4 dxe4 h6 h3 b6 g4 Ba6 Bc4 b5 Bd3 b4 Nd1 Bxd3 cxd3 Nbd7 Ne3 Nc5 O-O Bc7 Rd1 Ne6 Nf5 c5 Be3 h5 Kh1 hxg4 Ng5 Nd4 Bxd4 exd4 hxg4 Nd7 Qd2 Ne5 f4 Ng6 Nh3 Rc8 b3 Re8 Rg1 Bb8 Raf1 a5 Rg3 Qd7 Qh2 Nf8 g5 g6 Nh6+ Kg7 Nf2 Bxf4 Nfg4 Bxg5 Rxf7+ Qxf7 Nxf7 Kxf7 Qh8 Ke7 Qe5+ Ne6 Rh3 Rf8 Rh7+ Rf7 Rxf7+ Kxf7 Kg1 Rd8 Kf1 Ke7 Qh2 Rf8+ Ke1 Nf4 Nf2 Ke6 Kd1 Nh5 Qg2 Be3 Qxg6+ Kd7 Qxh5 Rxf2 Qxc5 Rxa2 e5 Rd2+ Ke1 Ke6 Qd6+ Kf5 e6 Bg5 e7 Rxd3 e8=Q Re3+ Qxe3 Bxe3 Qd5+ Kf4 Ke2,1-0
e4 c5 d4 cxd4 c3 dxc3 Nxc3 e6 Nf3 a6 Bf4 Nc6 Be2 Nge7 Qb3 Ng6 Be3 b5 h4 Qc7 h5 Nf4 Bf1 Na5 Qd1 Nc4 Rc1 Bb4 Qb3 Ba5 Rh4 Nxe3 fxe3 Nxh5 Rxh5 Qg3+ Ke2 O-O Rg5 Qb8 Kf2 h6 Rh5 Bb7 Bd3 Bc7 Ne2 Rc8 Rch1 Bd6 g4 f6 Ned4 Re8 Bb1 Bg3+ Kg2 d5 exd5 Bxd5 Rxd5 exd5 Qxd5+ Kh8 Qf5 Kg8 Qh7+ Kf8 Nf5,1-0
Nf3 Nf6 g3 b6 Bg2 Bb7 O-O e6 c4 c5 Nc3 Be7 d4 cxd4 Qxd4 O-O Rd1 Na6 Bf4 Nc5 Rac1 a6 b4 Nce4 Nxe4 Bxe4 Bd6 Bxd6 Qxd6 Qb8 Ne5 Bxg2 Kxg2 Rd8 c5 bxc5 bxc5 h6 a4 Qb7+ c6 dxc6 Qxc6 Qb2 Qc7 Rxd1 Qxf7+ Kh7 Rc7 Ne8 Qg6+ Kg8 Qxe6+ Kh7 Qf5+ Kg8 Re7 Qb1 Qf7+ Kh7 Nd7 Rxd7 Rxd7 Qe4+ Qf3 Nf6 Rd6 Qxf3+ exf3 a5 g4 Kg8 Kg3 Kf7 h4 Ke7 Rb6 Nd7 Rb5 Kd6 Rb7 Kc6 Rb1 Nc5 Rc1 Rb8 f4 Rb4 f5 Rxa4 g5 hxg5 hxg5 Kd5 f3 Ra3 Kg4 Ra4+ Kh5 Rf4 f6 gxf6 g6 Ne6 Ra1 Rxf3 Rxa5+ Ke4 Ra4+ Ke5 Ra5+ Kd6 Ra6+ Ke7 Ra7+ Kf8 Ra8+ Kg7 Ra7+ Kg8 Ra8+ Nf8 Ra6 Rf5+ Kh6 Rf1 Kh5 Rh1+ Kg4 Rg1+ Kf5 Rf1+ Kg4 Nxg6,0-1
d4 d5 c4 e6 Nc3 Nf6 cxd5 exd5 Bf4 Bb4 e3 Bf5 Bd3 Bxd3 Qxd3 O-O Ne2 Nc6 O-O Qe7 Rac1 Bxc3 Nxc3 Ne4 Nxd5 Qd8 Qxe4 Re8 Qf3 g5 Bxc7 Qc8 Nf6+ Kg7 Nxe8+ Qxe8 Qf5 Qe6 Qxg5+ Qg6 Qxg6+ hxg6 d5 Rc8 Bf4 Nb4 Rxc8 Nxd5 Be5+ f6 Bd4 b6 e4 b5 exd5 b4 d6 b3 d7 bxa2 d8=Q Kh6 Qxf6,0-1
d4 Nf6 c4 c5 d5 e6 Nc3 exd5 cxd5 d6 Nf3 g6 h3 Bg7 e4 O-O Be3 a6 a4 Re8 Nd2 Nxe4 Ncxe4 f5 Be2 fxe4 Nc4 a5 Bf4 Bf8 Ra3 Na6 h4 Nb4 Rg3 Qf6 Be3 Bf5 h5 Bg7 hxg6 Bxg6 Bh5 Nd3+ Kf1 Rf8 Bxg6 hxg6 Qe2 Rae8 Kg1 Ne5 Bg5 Qxf2+ Qxf2 Rxf2 Kxf2 Nxc4 b3 Nb6,0-1
e4 c5 Nf3 e6 d3 Nc6 g3 d5 Qe2 Nf6 Bg2 Be7 e5 Nd7 c4 O-O O-O b5 cxd5 exd5 Nc3 Nb6 Nxb5 Bf5 Bf4 Re8 Qd2 h6 h4 Nb4 e6 fxe6 Nc7 Nxd3 Nxe8 Nc4 Qc3 Qxe8 Be5 Ncxe5 Nxe5 d4 Qxd3 Bxd3 Nxd3 c4 Nf4 Rb8 Nxe6 Qd7 Nf4 g5 Nd5 Kf7 Rae1 Bc5 hxg5 hxg5 Re5 Rxb2 Be4 d3 Rf5+ Ke6 Rxg5 Rxf2 Rxf2 Bxf2+ Kxf2 Qa4 Nf4+ Kd6 Rd5+ Ke7 Ke3 Qxa2 g4 Qa1 Ng6+ Ke6 Nf4+ Ke7,0-1
e4 e5 Nf3 Nc6 Bb5 f5 d3 Nf6 Nc3 fxe4 dxe4 Bb4 Bxc6 Bxc3+ bxc3 bxc6 Qd3 d6 O-O O-O c4 Bg4 Bg5 Bxf3 Qxf3 Qe8 c5 Nd7 Qb3+ Qf7 cxd6 cxd6 Be7 Rfb8 Qxf7+ Kxf7 Bxd6 Rb2 Rfc1 c5 c3 Ke6 Rd1 Rc8 Rd3 c4 Rd5 Nb6 Ba3 Rc2 Rd6+ Kf7 Bb4 Rc7 Ba5 Rd7 Rc6 Rxa2 Rb1 Rxa5 h4 Ra3 Rb5 Re7 g4 Rxc3 g5 Rf3 h5 g6 Kg2 Rf4 f3 gxh5 Rh6 Kg7 Rc5 Nd7 Rc7 Ref7 Rxh5 Nf8 Rxc4 Rxf3 Rh1 Ng6 Ra1 Nh4+ Kh2 Rb3 Rc5 Rf2+,0-1
a3 d5 Nf3 Nf6 g3 c5 b4 cxb4 axb4 e6 Ba3 Bd6 Bg2 O-O O-O e5 b5 Re8 c4 dxc4 Bxd6 Qxd6 Na3 e4 Nxc4 Qc5 Nfe5 Rxe5 d4 exd3 Nxe5 Qxe5 Qxd3 Nbd7 Rfc1 g6 Ra3 Kg7 h3 h5 f4 Qe7 Rc7 Qb4 Rb3 Qe1+ Kh2 Nb6 Rb1 Qa5 Qb3 Be6 Qxe6 Rf8 Rxb7 Qd2 Qe5 Nc4 Qa1 h4 Rb3 Ne3 Rxe3 Qxe3 gxh4 Qxf4+ Kh1 Rc8 e3 Qxe3 Qxa7 Rc1+ Kh2 Qf4#,0-1
e4 c5 Nc3 g6 h4 Nc6 h5 Bg7 Bb5 d6 Bxc6+ bxc6 d3 Rb8 Qd2 gxh5 b3 c4 dxc4 Nf6 f3 Qa5 Nge2 Ba6 Nd4 Qe5 Nxc6 Nxe4 Nxe5 Nxd2 Bxd2 Bxe5 Rxh5 Kd7 O-O-O Rbg8 g4 Bb7 Nd5 e6 Rxe5 exd5 Rf5 dxc4 Rxf7+ Kc8 Bc3 Rf8 Rxb7 Kxb7 Bxh8 Rxh8 Rxd6 Rf8 Rd4 cxb3 axb3 Rxf3 Rd7+ Kb6 Rxh7 a5 Kb2 Kb5 Rh5+ Kb4 c3+ Rxc3 Rb5+ Kxb5 Kxc3,1-0
c4 e6 Nc3 d5 d4 Nf6 cxd5 exd5 Bf4 Be7 e3 O-O Bd3 c5 Nf3 Nc6 O-O cxd4 Nxd4 h6 h3 Bd6 Bxd6 Qxd6 Bc2 Be6 Bb3 Rfd8 Rc1 Rac8 Qd3 a6 Rfd1 Ne5 Qe2 b5 a3 Nc4 Bxc4 Rxc4 Rc2 b4 Nxe6 fxe6 Qxc4 dxc4 Rxd6 Rxd6 axb4 Nd5 Na2 Nb6 Kf1 Kf7 Ke2 Ke7 Nc3 Nd5 Na2 Rc6 g3 Kf6 e4 Nc7 b3 Nb5 Rxc4 Rd6 Ke3 e5 Nc3 Nxc3 Rxc3 Rb6 Rc4 g5 Kf3 h5 Ke3 Ke6 f4 Kf6 fxe5+ Kxe5 Rc5+ Kf6 b5 axb5 h4 gxh4 gxh4 Kg6 b4 Rb8 Rg5+ Kh6 Kf4 Rf8+ Rf5 Rg8 Rxb5 Rg4+ Kf5 Rxh4 Rb6+ Kg7 Rg6+ Kf7 Rg3 Rh1 Rb3 h4 b5 h3 Ke5 h2 Rb2 Ke7 b6,1-0
d4 Nf6 c4 e6 Nc3 d5 cxd5 exd5 Bf4 Bd6 Bxd6 Qxd6 e3 Bf5 Nf3 c6 Nh4 Be6 Bd3 Nbd7 h3 O-O O-O Nb6 Nf3 Rfe8 a4 a5 Qb3 Qb4 Qc2 Rac8 Rfc1 h6 Na2 Qd6 b3 Nfd7 Qd2 Ra8 Nc3 Nf6 Rab1 Nbd7 Ne2 g6 Nf4 Kg7 b4 Ne4 Qb2 axb4 Bxe4 dxe4 d5+ Nf6 Nd4 Bxd5 Nh5+ Kf8 Nb5 cxb5 Nxf6 Re5 Qxe5 Qxe5 Nd7+ Ke7 Nxe5 Ke6 f4 bxa4 Rxb4 a3 Rb6+ Ke7 Ra1 a2 Kf2 Ra3 Rb2 h5 g4 h4 g5 Ke6 Ng4 Ke7 Nf6 Bc6 Raxa2 Rc3 Rd2 Rc1 Ra3 Rh1 Kg2 Re1 Rc3 Ra1 Rxc6 bxc6 Nxe4 Ke6 Rd6+ Kf5 Nf2,1-0
d4 Nf6 Nc3 d5 Bf4 c5 e3 cxd4 exd4 Bg4 Be2 Bxe2 Qxe2 Nc6 O-O-O e6 g4 Bb4 Qe3 Rc8 Nge2 Na5 Kb1 Nc4 Qd3 Qa5 Bc1 Rc6 g5 Nd7 h4 O-O h5 Rfc8 Rh3 Na3+ Ka1 Bxc3 Nxc3 b5 g6 b4 gxf7+ Kh8 h6 g6 Rf3 bxc3 bxa3 Qb6 Qe3 Rf8 Rd3 e5 dxe5 Nc5 Qd4 Nxd3 Rxd3 Qxd4 Rxd4 Rxf7 Rxd5 Kg8 Be3 Rb7 a4 Kf7 a3 Ke6 Rb5 Rxb5 axb5 Rc7 Ka2 Kxe5 Kb3 Ke4 a4 Kf3 a5 g5 Kb4 g4 b6 axb6 axb6 Rc8 Bc5 Ke2 Bd4 Kd2 Kb3 Ke2 Be3 Kd1 Bf4 Rc6 Bc7 Rc5 Kb4 Rc6 b7 Rxc7 b8=Q Rf7 Kb3 Rxf2 Qg3 Rxc2 Qg1+,1-0
e4 e5 f4 d5 Nf3 dxe4 Nxe5 Bd6 Nc3 Nf6 d4 exd3 Bxd3 O-O O-O Nc6 Nxc6 bxc6 Qf3 Bg4 Qf2 Re8 Be3 Be6 h3 Bd5 Rae1 a5 Bd4 Rxe1 Rxe1 a4 a3 h6 Be5 Be6 Kh2 Nd7 Bxd6 cxd6 f5 Bd5 Nxd5 cxd5 Qd4 Nf6 Re3 Rb8 Rg3 Kf8 Be2 Qb6 Qxb6 Rxb6 b4 axb3 cxb3 Ne4 Re3 Nc5 b4 d4 Rf3 Ne4 Rd3,1-0
Nf3 d5 g3 Nc6 d4 Bf5 Nh4 Bg4 h3 Bh5 Ng2 f6 Nf4 Bf7 c4 e6 cxd5 exd5 Nc3 Bb4 Bg2 Nge7 O-O O-O Qb3 a5 Rd1 Qd7 Ncxd5 Kh8 Qf3 Nxd5 Nxd5 Rfd8 Nxb4 Nxb4 Bf4 c6 Rd2 Nxa2 d5 Nb4 dxc6 Qxc6 Rxa5 Qxf3 Bxf3 Nc6 Rxa8 Rxa8 Rd7 Be6 Rxb7 Nd4 Kg2 Nxf3 exf3 Kg8 g4 Bd5 Rb5 Bc6 Rc5 Ra6 Kg3 Rb6 Be3 Ra6 h4 Be8 Bd4 Rc6 Ra5 Rc7 f4 h6 g5 hxg5 fxg5 fxg5 hxg5 Kh7 f4 Rb7 Bc3 Bb5 f5 Bd3 Kf4 Rc7 g6+ Kh6 Rd5 Bb1 Rd1 Rc4+ Bd4,1-0
e3 d5 c4 c6 Nc3 Nf6 Nf3 Bf5 cxd5 Nxd5 d4 e6 Bd3 Bxd3 Qxd3 Be7 e4 Nf6 O-O O-O Bf4 Nbd7 Rad1 Re8 h4 a5 e5 Nd5 Nxd5 cxd5 Ng5 Bxg5 Bxg5 Qb6 Qg3 Kh8 Qf4 Kg8 h5 Rac8 h6 g6 Rd3 Qxb2 Rf3 Rf8 Be7 Qxa2 Bxf8 Rxf8 Rc1,1-0
Nf3 Nf6 g3 e6 Bg2 Be7 O-O O-O d3 d5 Nc3 d4 Nb5 c5 a4 Nc6 e4 dxe3 Bxe3 Nd5 Bd2 Bf6 c3 b6 Re1 Bb7 h4 h6 Nh2 Be7 Ng4 Kh7 Nxh6 gxh6 Qh5 Nf6 Qxh6+ Kg8 Bg5 Re8 Re4 Nxe4 Bxe4 Bxg5 hxg5 Ne5 Qh7+ Kf8 Bxb7 Rb8 Qh8+ Ke7 Qf6+ Kf8 Qxe5 Rxb7 Nd6 Rd7 Nxe8 Qxe8 Qh8+ Ke7 Qf6+ Kd6 d4 Kc6 Rd1 c4 d5+ Kb7 Qf3 Ka6 dxe6 Rxd1+ Qxd1 Qxe6 Kg2 Ka5 f4 Qe4+ Kf2 Qf5 Kf3 Qe6 g4 Qc6+ Kg3 Qe4 Qf3 Qe1+ Qf2 Qe4 f5 Qe5+ Kh3 Qe4 g6 fxg6 f6 Qd3+ Kh4 Qd6 Kg5 Qf8 f7 Kxa4 Qc2+ Kb5 Qxg6 Ka4 Qc2+ Kb5 Qf5+ Ka4 Kg6 Kb3 g5 Kxb2 Kh7 Kxc3 g6 Qe7 g7 Qh4+ Kg8 Qd4 f8=Q,1-0
d4 Nf6 Nc3 d5 Bf4 e6 Nb5 Na6 e3 Be7 h4 O-O Nf3 c6 Nc3 Qa5 Bd3 Nb4 Be2 Ne4 O-O c5 Ng5 Nf6 Nb5 Bd7 a4 c4 c3 Nc6 b3 cxb3 Qxb3 h6 Nf3 Ne4 Rfc1 Rac8 Bd3 Qd8 Bxe4 dxe4 Nd2 f5 Nc4 Na5 Nxa5 Qxa5 Nd6 Bxd6 Bxd6 Rf7 c4 Qd8 Bg3 g5 Be5 gxh4 Qxb7 Qg5 Kh2 Kh7 Rg1 Rg8 Rab1 Qh5 Qb2 Bxa4 Qd2 Be8 Bf4 Qg6 Be5 Qh5 d5 exd5 cxd5 Qg5 d6 Bd7 Bf4 Qf6 Qd4 Qe6 Rb7 Rfg7 Be5 Rf7 Bf4 Rfg7 Be5 Rg4 Rxa7 h5 Bf4 R8g7 Be5 Rg8 Rc7 Kh6 Bf4+ Kh7 Qe5 R8g7 Qxe6 Bxe6 Re7 Rf7 Rxe6,1-0
d4 Nf6 Nc3 d5 Bf4 g6 h4 Bg7 e3 h5 Nf3 O-O Be2 c5 dxc5 Qa5 Nd2 Qxc5 Nb3 Qb6 a4 Nc6 O-O Qd8 a5 a6 Bf3 Bf5 Nd4 Nxd4 exd4 Rc8 Qd2 e6 Rfe1 Qe7 Ra4 Qd7 Rb4 Rfe8 Be5 Rc6 Ra1 Rec8 Ra3 Ne8 Bxg7 Kxg7 Qf4 Qd6 Qxd6 Nxd6 Bd1 R8c7 f3 Nc4 Ra2 Nxb2 Rbxb2 Rxc3 Kf2 Kf6 Ke2 g5 hxg5+ Kxg5 Kd2 h4 Be2 Kf4 Bd1 Kg3 Rxb7 Rxb7 Kxc3 Kxg2 Be2 h3 Bxa6 Rc7+ Kb4 h2 c4+ Kg3 Rxh2 Kxh2 c5 e5 Kb5 exd4 Kb6 Re7 c6 d3 Bxd3 Bxd3 c7 Ba6,0-1
d4 d5 Nc3 Nf6 Bf4 Bf5 f3 e6 g4 Bg6 h4 h5 g5 Nfd7 Nb5 Na6 e3 Be7 Bd3 O-O Bxg6 fxg6 Ne2 c6 Nbc3 Qb6 Qd3 Rf5 a3 e5 Bg3 Qxb2 O-O Qb6 Rab1 Qc7 e4 dxe4 Nxe4 Kh7 Bh2 Rd8 Qb3 Qa5 Qe6 Bf8 Rxb7 exd4 Rxd7 Rxd7 Qxd7 Nc5 Qxd4 Nxe4 Qxe4 Qxa3 Kg2,1-0
d4 Nf6 c4 e6 Nc3 Bb4 e3 O-O a3 Bxc3+ bxc3 b6 f3 d5 cxd5 exd5 Bd3 c5 Ne2 Nc6 O-O Be6 Ra2 Rc8 Nf4 Na5 Re2 cxd4 cxd4 Nc4 g4 h6 h4 Ne8 Qe1 Ned6 Rg2 Kh8 a4 Qd7 g5 Bf5 Be2 Qxa4 Qg3 Rg8 Nxd5 Be6 Ne7 Nf5 Nxf5 Bxf5 e4 Bg6 gxh6 gxh6 Qf4 Rg7 h5 Qd7 d5 Qh3 hxg6 Rxg6 Rxg6 fxg6 Qxh6+ Qxh6 Bxh6,1-0
Nf3 Nf6 g3 c5 Bg2 Nc6 c4 d5 cxd5 Nxd5 Nc3 Nxc3 bxc3 e5 O-O Be7 d3 O-O Rb1 Qc7 Nd2 Be6 c4 Rac8 Ne4 b6 Nc3 Qd7 Nd5 Bd6 a4 f5 Bd2 Ne7 a5 Bxd5 cxd5 b5 a6 Rb8 Qb3 Rfc8 Rfc1 h6 e4 fxe4 Bxe4 Nf5 Be3 c4 dxc4 bxc4 Qc3 Rxb1 Bxb1 Nxe3 Qxe3 Qg4 Kg2 Qd4 Qe2 Qxd5+ Be4 Qe6 Qf3 Qf6 Qg4 Rf8 f3 Bc5 Rxc4 Bd4 Rc7 Kh8 h4 Bb6 Rb7 Bd4 Kh3 Rf7 Rb8+ Rf8 Qg6 Kg8 Bd5+ Kh8 Qxf6,1-0
e4 e5 f4 Nc6 Nc3 exf4 d4 g5 h4 d6 hxg5 Qxg5 Nge2 Bg4 Bxf4 Qxf4 Nxf4 Bxd1 Rxd1 O-O-O Bc4 Bg7 Nce2 Nf6 Nh5 Nxh5 Rxh5 Rde8 Bd5 Nb4 Kd2 Nxd5 exd5 Re4 c3 Rhe8 Nc1 Rg4 Rg1 h6 Rf5 Re7 Ne2 h5 Rxh5 Bf6 g3 Bg5+ Kd1 f6 Rh8+ Kd7 Rgh1 Rge4 R1h2 Re3 Nf4 c6 Ng6 Re1+ Kc2 R7e2+ Kb3 Rxh2 Rxh2 cxd5 Rh7+ Kc8 Ne7+ Kb8 Nxd5 a6 a4 a5 Rd7 Rg1 Rxd6 Rxg3 Nxf6,1-0
d4 Nf6 Nc3 d5 Bf4 g6 e3 Bg7 h4 h5 Nf3 O-O Be2 c5 dxc5 Qa5 Nd4 Qxc5 Nb3 Qc6 O-O a6 a4 Nbd7 Bf3 e6 a5 b5 axb6 Nxb6 Na5 Qc5 Qd4 Qxd4 exd4 Bd7 Bc7 Nc8 Na4 Ra7 Bf4 Bb5 Rfd1 Ne7 Bd6 Rc8 Bc5 Rac7 Nb6 Rd8 b3 Ne4 Bxe4 dxe4 Nbc4 Nd5 Nd6 Rxc5 dxc5 Bxa1 Rxa1 Nc3 b4 Kf8 Ra3 Ne2+ Kh2 Nd4 c4 Be8 Nab7 Ra8 b5 a5 Rxa5 Rxa5 Nxa5 Ke7 b6 Bc6 b7 Bxb7 Ndxb7 Kd7 Nd6 f5 Nb5 e5 Nxd4 exd4 Nb3 d3 g3 Ke6 Kg2 Ke5 Kf1,1-0
d4 Nf6 Nc3 d5 Bf4 c5 e3 cxd4 exd4 Bg4 Be2 Bxe2 Qxe2 a6 O-O-O e6 g4 Bb4 Qf3 Qa5 Nge2 Nc6 Kb1 Ne7 a3 Bxc3 Nxc3 O-O Bd6 Rfe8 g5 Nd7 h4 Nf5 Bb4 Qc7 Nxd5 Qc6 Nf6+ gxf6 d5 Ne5 Qxf5 exf5 dxc6 Nxc6 Bc3 fxg5 hxg5 Rad8 Bf6 Rxd1+ Rxd1 h6 gxh6 Kh7 Bg5 f6 Rd7+ Re7 Rxe7+ Nxe7 Bxf6 Ng8 Bg5 Nxh6 Bxh6 Kxh6 Kc1 Kg5 Kd2 Kf4 Ke2 Ke4 f3+ Kf4 c4 b5 c5 Ke5 f4+ Kd5 b4 a5 Kf3 a4 Ke3,1-0
d4 Nf6 Bf4 d5 e3 e6 Nf3 c5 c3 Nc6 Nbd2 Bd6 Bg3 O-O Bb5 Ne7 Bd3 c4 Bc2 b5 e4 dxe4 Nxe4 Nxe4 Bxe4 Nd5 Qc2 f5 Bxd5 exd5 Bxd6 Qxd6 Ne5 f4 f3 Bf5 Qd2 Bg6 O-O a5 a3 Rae8 Rfe1 Re6 Re2 Be8 Rae1 Rff6 Ng4 Rg6 h4 h5 Rxe6 Rxe6 Ne5 Rf6 Nxc4 bxc4 Rxe8+ Kh7 Qc2+ Rg6 Re5 Kh6 Qf5 Kh7 Qxh5+ Rh6 Qf5+ Qg6 Qxg6+ Rxg6 Rxd5 Rb6 Rxa5 Rxb2 Rc5 Rb3 Rxc4 Rxa3 Rc5 Kg6 Kh2 Ra2 Kh3 Rd2 Rg5+ Kf6 Rg4 Rd3 Rxf4+ Ke6 c4 g6 Kg4 Rd2 g3 Rd3 d5+ Ke5 Kg5 Rc3 Kxg6,1-0
d4 d5 Nc3 Nf6 Bf4 c5 e3 cxd4 exd4 a6 Nf3 Nc6 Ne5 Bd7 Ne2 e6 c3 Be7 Ng3 b5 Bd3 b4 O-O bxc3 bxc3 O-O Rb1 Qc8 Re1 Rd8 Re3 Nxe5 dxe5 Ne4 Nxe4 dxe4 Bxe4 Bc6 Bxh7+ Kxh7 Qh5+ Kg8 Rh3 f5 Qh7+ Kf7 Rg3 Bf8 Bh6 Ke8 Qg6+ Kd7 Qf7+ Be7 Bg5 Re8 Rd3+ Bd5 Rxd5+ Kc6 Rd4 Bc5 Rc4 Rb8 Rd1 Kb5 Rf4 Ka5 h4 Rb2 Qh5 Qc6 Rf1 Reb8 Kh2 Rxa2 Rc4 Qd5 Rf4 Rbb2 Qe8 Bxf2 R1xf2 Rxf2 Bd8+,1-0
